iter	MAE	RMSE
1982	0.3735498094	0.5236555272
1983	0.3734780927	0.5235823844
1984	0.3734173986	0.5235004133
1985	0.3734098832	0.5234939694
1986	0.3733164707	0.5233829275
1987	0.3732817268	0.5233454116
1988	0.3732123815	0.5232634277
1989	0.373164217	0.5232076418
1990	0.3731090558	0.5231478181
1991	0.3730255723	0.523040685
1992	0.3730093726	0.5230229237
1993	0.3729204222	0.5229083748
1994	0.3728909654	0.5228809805
1995	0.3728178967	0.5228055989
1996	0.3728029731	0.5227912156
1997	0.3727161163	0.5226792909
1998	0.3727075017	0.5226691357
1999	0.3726673558	0.5226173679
2000	0.372574823	0.5225189292
2001	0.3725551136	0.5224995806
2002	0.3724760195	0.522419074
2003	0.3724410647	0.522380847
2004	0.3723721254	0.5223044922
2005	0.3723090328	0.5222363796
2006	0.372287317	0.5222115389
2007	0.3722538473	0.5221714698
2008	0.3722273364	0.5221433701
2009	0.3722057216	0.5221179467
2010	0.3721619634	0.5220704991
2011	0.3720949415	0.5219971556
2012	0.3720128834	0.5219230935
2013	0.3719723427	0.5218859237
2014	0.3719082804	0.5218106956
2015	0.3718724035	0.521769796
2016	0.3718485863	0.5217409317
2017	0.3718093792	0.5216970615
2018	0.3717504114	0.5216301355
2019	0.3716809647	0.5215458145
2020	0.3716390975	0.5215020177
2021	0.3715890802	0.5214362463
2022	0.371540685	0.5213832592
2023	0.3714636221	0.5212955628
2024	0.3714308334	0.5212638145
2025	0.3713998645	0.5212315107
2026	0.3713661224	0.5211954781
2027	0.371338794	0.5211685184
2028	0.3713107425	0.5211384621
2029	0.3712855995	0.5211042481
2030	0.3711862909	0.5209990543
2031	0.3711006251	0.5208905707
2032	0.3710636938	0.5208446649
2033	0.3710210394	0.5208009391
2034	0.3708909178	0.5206205001
2035	0.3708338092	0.5205441819
2036	0.3707853875	0.5204912858
2037	0.3707488293	0.5204521379
2038	0.370707235	0.5204139589
2039	0.370627967	0.5203150973
2040	0.3705830584	0.520257495
2041	0.370560903	0.5202385376
2042	0.370467049	0.5201263042
2043	0.3704097163	0.5200702985
2044	0.3703916882	0.5200483067
2045	0.3703353952	0.519983241
2046	0.3702634725	0.5198996815
2047	0.3702297831	0.5198630214
2048	0.3701680326	0.5197835462
2049	0.3701186141	0.5197248421
2050	0.3700880871	0.5196867603
2051	0.3700422931	0.5196400202
2052	0.3699795336	0.5195709341
2053	0.3698890734	0.5194695682
2054	0.3698526214	0.5194198931
2055	0.369829711	0.5194006458
2056	0.3698112059	0.5193834605
2057	0.3697726897	0.5193307949
2058	0.3697187747	0.5192733394
2059	0.3696336061	0.5191713631
2060	0.3695852972	0.5191050556
2061	0.3695595496	0.5190762552
2062	0.369541037	0.5190538455
2063	0.3694476347	0.5189480452
2064	0.3693667797	0.5188455447
2065	0.3693128641	0.5187802862
2066	0.369167235	0.518608699
2067	0.3691345669	0.5185759583
2068	0.3690970716	0.5185288347
2069	0.3690102573	0.5184295495
2070	0.3689533319	0.5183758053
2071	0.3688961866	0.5183098743
2072	0.3688496735	0.5182564258
2073	0.3687877598	0.518183368
2074	0.3687514145	0.5181346462
2075	0.3686869496	0.5180556946
2076	0.3686108211	0.5179617417
2077	0.3685956132	0.5179448008
2078	0.36853778	0.5178820957
2079	0.3684908488	0.5178284274
2080	0.3684442128	0.5177796774
2081	0.3684225939	0.5177542904
2082	0.3683348175	0.517665861
2083	0.3683236915	0.5176566621
2084	0.3682862265	0.517614471
2085	0.3682192508	0.5175396569
2086	0.3681951104	0.5175119564
2087	0.3681708067	0.5174872562
2088	0.3680850482	0.5173800933
2089	0.3680167977	0.5173107425
2090	0.3679993879	0.5172883668
2091	0.3678539381	0.5170988687
2092	0.3678014306	0.5170368005
2093	0.3677639475	0.5169945305
2094	0.3677243429	0.5169408347
2095	0.3677067402	0.5169144722
2096	0.3676475567	0.5168492041
2097	0.3676264386	0.5168270115
2098	0.3676141617	0.5168156367
2099	0.3675956953	0.5167971031
2100	0.3675201173	0.5167211247
2101	0.3675046409	0.5167041733
2102	0.3674355326	0.5166169244
2103	0.3673688491	0.5165358165
2104	0.36733221	0.5164963484
2105	0.3672500828	0.5164103804
2106	0.3671843073	0.5163486268
2107	0.3671306303	0.516287609
2108	0.3670796879	0.5162277024
2109	0.3670303193	0.5161663373
