iter	Passed	Remaining
881	70752	177923
882	70843	177870
883	70931	177810
884	71011	177728
885	71096	177659
886	71181	177592
887	71262	177514
888	71326	177394
889	71423	177354
890	71510	177291
891	71591	177212
892	71666	177119
893	71757	177064
894	71829	176965
895	71903	176870
896	71982	176785
897	72058	176695
898	72147	176637
899	72238	176582
900	72310	176481
901	72389	176398
902	72441	176250
903	72522	176171
904	72601	176088
905	72673	175988
906	72755	175912
907	72832	175824
908	72919	175760
909	72989	175656
910	73081	175603
911	73176	175559
912	73250	175465
913	73336	175397
914	73409	175299
915	73480	175197
916	73570	175140
917	73641	175039
918	73724	174966
919	73803	174882
920	73876	174785
921	73951	174692
922	74044	174643
923	74124	174562
924	74249	174586
925	74345	174543
926	74425	174462
927	74508	174388
928	74592	174315
929	74687	174270
930	74766	174187
931	74860	174138
932	74933	174040
933	75022	173981
934	75115	173930
935	75202	173865
936	75271	173759
937	75376	173735
938	75465	173674
939	75540	173581
940	75640	173546
941	75738	173506
942	75803	173391
943	75888	173322
944	75985	173280
945	76069	173207
946	76165	173162
947	76242	173074
948	76343	173040
949	76423	172958
950	76500	172871
951	76573	172772
952	76662	172711
953	76744	172635
954	76821	172547
955	76904	172472
956	77005	172437
957	77090	172367
958	77166	172276
959	77245	172193
960	77340	172145
961	77412	172044
962	77493	171966
963	77588	171918
964	77689	171882
965	77766	171795
966	77864	171753
967	77959	171705
968	78057	171662
969	78157	171624
970	78241	171551
971	78315	171455
972	78388	171359
973	78494	171335
974	78578	171260
975	78668	171201
976	78756	171135
977	78856	171097
978	78925	170992
979	79022	170946
980	79109	170879
981	79190	170799
982	79282	170742
983	79350	170635
984	79442	170579
985	79522	170498
986	79612	170436
987	79704	170379
988	79802	170336
989	79885	170261
990	79977	170204
991	80066	170141
992	80142	170051
993	80218	169959
994	80282	169843
995	80354	169744
996	80451	169698
997	80527	169608
998	80608	169528
999	80689	169448
1000	80784	169397
1001	80885	169359
1002	80985	169318
1003	81069	169244
1004	81158	169180
1005	81252	169128
1006	81315	169010
1007	81391	168920
1008	81484	168863
1009	81565	168784
1010	81645	168701
1011	81727	168624
1012	81815	168558
1013	81891	168468
1014	81969	168380
1015	82025	168248
1016	82106	168168
1017	82188	168091
1018	82276	168024
1019	82357	167945
1020	82450	167889
1021	82546	167839
1022	82631	167766
1023	82727	167716
1024	82794	167609
1025	82890	167557
1026	82978	167492
1027	83068	167429
1028	83146	167344
1029	83222	167253
1030	83325	167217
1031	83466	167256
1032	83561	167204
1033	83660	167159
1034	83743	167082
1035	83833	167018
1036	83926	166963
1037	84008	166883
1038	84091	166807
1039	84171	166724
1040	84268	166674
1041	84357	166609
1042	84453	166558
1043	84524	166457
1044	84598	166364
1045	84660	166244
1046	84730	166142
1047	84806	166052
1048	84888	165974
1049	84981	165916
1050	85058	165827
1051	85149	165766
1052	85226	165677
1053	85311	165604
1054	85396	165531
1055	85489	165474
1056	85558	165370
1057	85639	165288
1058	85730	165227
